Biotype	DensityShuf	DensityWt	GC	LocID	Location	NbLocation	NbRepro	NbTrpG4Shuf	NbTrpG4Wt	NbpG4rLocShuf	NbpG4rLocWt	NbpG4rShuf	NbpG4rWt	PercentShuf	PercentWt	Sp	Tot	Type	index	nbTr	nuclA	nuclC	nuclG	nuclN	nuclT	Class	meanShuffle	stdShuffle	ShortName
Coding	0.1074915933012761	0.033293856332253666	42.73685011581506	CDS-Coding	CDS	1353.0	3	92	34	113.0	35.0	113	35	8.35181079083518	2.5868440502586845	anaplasma_phagocytophilum_str_hz	1051245	Segment		1352	298396.0	181617	267652		303580.0	Coding	0.11518292603689444	0.010465090226011123	Apha
Coding	0.05135420663909457	0.0399211052840194	45.81583547703984	CDS-Coding	CDS	99019.0	3	643	551	813.0	632.0	813	632	0.8210545450873065	0.6382613437825064	anolis_carolinensis	15831225	Segment		9367	4680052.0	3524815	3728393		3897652.0	Coding	0.0564450832933329	0.0037004459521173387	Acar
Coding	0.06467421425497766	0.06569270581804817	39.732645964694	CDS-Coding	CDS	75318.0	3	730	747	1143.0	1161.0	1143	1161	1.5175655221859317	1.541464191826655	apis_mellifera	17673195	Segment		13285	5922301.0	3256750	3765278		4716701.0	Coding	0.06960344241007796	0.003534751438601483	Amel
Coding	0.05044273726832128	0.05316937171525757	43.68763675775898	CDS-Coding	CDS	1553.0	3	71	75	74.0	78.0	74	78	4.764971023824856	5.022537025112684	aquifex_aeolicus_vf5	1467010	Segment		1553	477576.0	283899	357003		348532.0	Coding	0.04736993921450549	0.005702265303463527	Aaeo
Coding	0.04961424801394455	0.02526606787857157	43.85888574192955	CDS-Coding	CDS	285738.0	3	2563	1346	3081.0	1569.0	3081	1569	1.0782605043781366	0.5491044243327804	arabidopsis_thaliana	62099097	Segment		48113	17949965.0	12550226	14685746		16913160.0	Coding	0.050812144574875776	0.0017837551533869264	Atha
Coding	0.2970509885504465	0.2114600257477755	49.475553962332924	CDS-Coding	CDS	2407.0	3	493	364	590.0	420.0	590	420	24.511840465309515	17.449106771915247	archaeoglobus_fulgidus_dsm_4304	1986191	Segment		2407	542293.0	412938	569741		461219.0	Coding	0.2871468989492453	0.008459574476020502	Aful
Coding	0.06027884850702703	0.10116591914101918	53.39562191502287	CDS-Coding	CDS	34980.0	3	821	1306	917.0	1539.0	917	1539	2.6214979988564893	4.399656946826759	aspergillus_nidulans	15212633	Segment		10534	3686957.0	4146051	3976829		3402796.0	Coding	0.06421568760123184	0.0032293938742649388	Anid
Coding	0.033954151030780116	0.004074498123693614	44.35865362284	CDS-Coding	CDS	4188.0	3	122	15	125.0	15.0	125	15	2.984718242597898	0.35816618911174786	bacillus_subtilis_subsp_subtilis_str_168	3681435	Segment		4185	1101850.0	745631	887404		946550.0	Coding	0.03248347347157702	0.0019353728791645993	Bsub
Coding	0.001746372565884088	0.006985490263536352	28.9937139319491	CDS-Coding	CDS	1340.0	3	2	8	2.0	8.0	2	8	0.1492537313432836	0.5970149253731344	borrelia_burgdorferi_b31	1145231	Segment		1339	441754.0	140520	191525		371432.0	Coding	0.0021827616084167728	0.0014984000525760017	Bbur
Coding	0.12240936168774726	0.01914993081618132	58.40755183154068	CDS-Coding	CDS	3085.0	3	291	45	326.0	51.0	326	51	10.567260940032417	1.653160453808752	brucella_abortus_bv_1_str_9_941	2663195	Segment		3085	539733.0	768835	786672		567955.0	Coding	0.12652557563590305	0.006288645761778225	Babo
