Biotype	Class	DensityShuf	DensityWt	GC	LocID	Location	NbLocation	NbRepro	NbTrpG4Shuf	NbTrpG4Wt	NbpG4rLocShuf	NbpG4rLocWt	NbpG4rShuf	NbpG4rWt	Sp	Tot	Type	index	nbTr	nuclA	nuclC	nuclG	nuclN	nuclT	meanShuffle	stdShuffle	ShortName
nonsense_mediated_decay	Coding	0.10152490405896566	0.07106743284127598	49.578333231808436	CDS-nonsense_mediated_decay-Coding	CDS	2780.0	3	27	17	29.0	18.0	30	21	danio_rerio	295494	Segment	6	668	80994	70319	76182	0	67999	0.14540730425324988	0.032668460802565455	Drer
nonsense_mediated_decay	Coding	0.13206343657465314	0.08496728456089818	52.01950848853517	CDS-nonsense_mediated_decay-Coding	CDS	69333.0	3	971	619	1042.0	644.0	1088	700	homo_sapiens	8238465	Segment	10	15714	2107675	2121230	2164379	0	1845181	0.15512075832099925	0.016612301656487815	Hsap
nonsense_mediated_decay	Coding	0.115951669513331	0.05289023521660713	52.276861056080676	CDS-nonsense_mediated_decay-Coding	CDS	33273.0	3	414	186	442.0	197.0	456	208	mus_musculus	3932673	Segment	11	7196	997480	1018360	1037518	0	879315	0.14232017171044475	0.018525563622867346	Mmus
protein_coding	Coding	0.1074915933012761	0.033293856332253666	42.73685011581506	CDS-protein_coding-Coding	CDS	1353.0	3	92	34	92.0	34.0	113	35	anaplasma_phagocytophilum_str_hz	1051245	Segment	1	1352	298396	181617	267652	0	303580	0.11518292603689444	0.010465090226011123	Apha
protein_coding	Coding	0.05135420663909457	0.0399211052840194	45.81583547703984	CDS-protein_coding-Coding	CDS	99019.0	3	643	551	733.0	593.0	813	632	anolis_carolinensis	15831225	Segment	1	9367	4680052	3524815	3728393	313	3897652	0.0564450832933329	0.0037004459521173387	Acar
protein_coding	Coding	0.06467421425497766	0.06569270581804817	39.732645964694	CDS-protein_coding-Coding	CDS	75318.0	3	730	747	865.0	890.0	1143	1161	apis_mellifera	17673195	Segment	1	13285	5922301	3256750	3765278	12165	4716701	0.06960344241007796	0.003534751438601483	Amel
protein_coding	Coding	0.05044273726832128	0.05316937171525757	43.68763675775898	CDS-protein_coding-Coding	CDS	1553.0	3	71	75	71.0	75.0	74	78	aquifex_aeolicus_vf5	1467010	Segment	1	1553	477576	283899	357003	0	348532	0.04736993921450549	0.005702265303463527	Aaeo
protein_coding	Coding	0.04961424801394455	0.02526606787857157	43.85888574192955	CDS-protein_coding-Coding	CDS	285738.0	3	2563	1346	2682.0	1409.0	3081	1569	arabidopsis_thaliana	62099097	Segment	1	48113	17949965	12550226	14685746	0	16913160	0.050812144574875776	0.0017837551533869264	Atha
protein_coding	Coding	0.2970509885504465	0.2114600257477755	49.475553962332924	CDS-protein_coding-Coding	CDS	2407.0	3	493	364	493.0	364.0	590	420	archaeoglobus_fulgidus_dsm_4304	1986191	Segment	1	2407	542293	412938	569741	0	461219	0.2871468989492453	0.008459574476020502	Aful
protein_coding	Coding	0.06027884850702703	0.10116591914101918	53.39562191502287	CDS-protein_coding-Coding	CDS	34980.0	3	821	1306	857.0	1375.0	917	1539	aspergillus_nidulans	15212633	Segment	1	10534	3686957	4146051	3976829	0	3402796	0.06421568760123184	0.0032293938742649388	Anid
protein_coding	Coding	0.033954151030780116	0.004074498123693614	44.35865362284	CDS-protein_coding-Coding	CDS	4188.0	3	122	15	122.0	15.0	125	15	bacillus_subtilis_subsp_subtilis_str_168	3681435	Segment	1	4185	1101850	745631	887404	0	946550	0.03248347347157702	0.0019353728791645993	Bsub
protein_coding	Coding	0.001746372565884088	0.006985490263536352	28.9937139319491	CDS-protein_coding-Coding	CDS	1340.0	3	2	8	2.0	8.0	2	8	borrelia_burgdorferi_b31	1145231	Segment	1	1339	441754	140520	191525	0	371432	0.0021827616084167728	0.0014984000525760017	Bbur
protein_coding	Coding	0.12240936168774726	0.01914993081618132	58.40755183154068	CDS-protein_coding-Coding	CDS	3085.0	3	291	45	291.0	45.0	326	51	brucella_abortus_bv_1_str_9_941	2663195	Segment	1	3085	539733	768835	786672	0	567955	0.12652557563590305	0.006288645761778225	Babo
protein_coding	Coding	0.0279864766144138	0.008023211128737141	43.6183178628204	CDS-protein_coding-Coding	CDS	225583.0	3	1053	288	1238.0	366.0	1329	381	caenorhabditis_elegans	47487221	Segment	1	33540	14476615	10185937	10527190	0	12297479	0.027954293842909206	0.00128171674525403	Cele
protein_coding	Coding	0.001969634796881412	0.002626179729175216	30.90796881411572	CDS-protein_coding-Coding	CDS	1631.0	3	3	4	3.0	4.0	3	4	campylobacter_jejuni_subsp_jejuni_nctc_11168_atcc_700819	1523125	Segment	1	1624	551499	195403	275364	0	500859	0.002100733095574149	0.0006781223489196663	Cjej
protein_coding	Coding	0.3245788378813011	0.49038101480768	49.64939162544445	CDS-protein_coding-Coding	CDS	1602.0	3	377	527	377.0	527.0	462	698	candidatus_korarchaeum_cryptofilum_opf8	1423383	Segment	1	1602	383890	291377	415324	0	332792	0.3393661867023543	0.012143875443041765	Ckor
protein_coding	Coding	0.35252517653128124	0.20635620089635973	57.85255204582828	CDS-protein_coding-Coding	CDS	2017.0	3	463	313	463.0	313.0	656	384	cenarchaeum_symbiosum_a	1860860	Segment	1	2017	437117	496576	579979	230	346958	0.3618912613839607	0.013153231985957359	Csym
protein_coding	Coding	0.02351339248020333	0.010687905672819692	41.75198287369995	CDS-protein_coding-Coding	CDS	895.0	3	20	10	20.0	10.0	22	10	chlamydia_trachomatis_d_uw_3_cx	935637	Segment	1	894	265274	187793	202854	0	279716	0.019877259994363523	0.005499139419678085	Ctra
protein_coding	Coding	0.9209974567702494	0.7158762627229163	70.19526200642801	CDS-protein_coding-Coding	CDS	166497.0	3	11289	9866	24917.0	20614.0	39126	30412	chlamydomonas_reinhardtii	42482202	Segment	1	19230	6695508	14308853	15511640	927	5965274	0.9213676178664553	0.0033658588710766446	Crei
protein_coding	Coding	0.1413874186073434	0.05124107788454057	57.24216723190004	CDS-protein_coding-Coding	CDS	3853.0	3	502	192	502.0	192.0	596	216	chloroflexus_aurantiacus_j_10_fl	4215368	Segment	1	3853	844676	1178497	1234471	0	957724	0.14785080998283232	0.005629439267729042	Caur
protein_coding	Coding	0.06950859769691715	0.04202679954934405	49.75302032575708	CDS-protein_coding-Coding	CDS	416225.0	3	4097	2518	4686.0	2812.0	4884	2953	danio_rerio	70264689	Segment	7	44800	19258513	17216654	17742151	2940	16044431	0.07427562999959453	0.003504075639963628	Drer
